count,linha
176981,900
137111,942
136623,931
131873,901
104992,904
103625,908
95616,934EX1
89623,934
82620,903
79705,943
73862,939
73614,907
73063,902
62656,906
60142,905
58174,933
53113,912
52287,947
52086,927
51586,940
48703,948
47898,915
44325,918
42091,936
39591,938
36619,919
36179,925
32825,930
31288,910
30704,941
28096,928
28085,932
27312,917
26993,930EX1
26721,955
24490,937
22237,901BI1
17364,949
16282,909
14993,950
14379,943BI1
14239,952
14228,905EX1
14020,911
11510,914
11451,912BI1
11208,913
9488,921
9344,945
9300,903VP1
8388,944
8339,942VP1
7092,954
5480,951
5446,929
4724,939DV1
3968,949DV1
2930,947VP1
2466,933BI1
2425,937DV1
1987,948DV1
1570,922
1428,933DV1
1222,912DV1
921,945DV1
821,932DV1
733,930DV1
615,921VP1
340,911DV1
1,ï»¿948
